Gender,Career Points
M,30
M,48
M,9698
M,6529
M,7788
M,15097
M,5323
M,3886
M,272
M,1355
M,1827
M,10399
M,606
M,6469
M,8
M,7316
M,2185
M,3877
M,1477
M,215
M,4325
M,377
M,7859
M,1501
M,23757
M,202
M,5564
M,8413
M,2645
M,584
M,8278
M,8549
M,422
M,10125
M,84
M,4227
M,317
M,11
M,1534
M,10125
M,1125
M,5
M,1022
M,2199
M,9475
M,2
M,13
M,245
M,32292
M,11825
M,4871
M,160
M,26946
M,16360
M,3397
M,531
M,62
M,11500
M,96
M,52
M,57
M,20
M,91
M,73
M,1200
M,19711
M,462
M,1078
M,19289
M,3697
M,3071
M,302
M,1534
M,28
M,68
M,19923
M,535
M,2674
M,2902
M,223
M,9621
M,5338
M,11268
M,603
M,1607
M,63
M,6520
M,122
M,169
M,9
M,11988
M,0
M,26
M,16401
M,24815
M,239
M,12928
M,31
M,466
M,136
M,1975
M,16
M,78
M,356
M,295
M,2
M,44
M,5318
M,3520
M,1114
M,36928
M,397
M,12
M,157
M,14979
M,1061
M,466
M,1957
M,840
M,17911
M,12417
M,470
M,6774
M,15586
M,5119
M,4036
M,3
M,16589
M,987
M,578
M,85
M,130
M,1008
M,14259
M,753
M,222
M,3679
M,8616
M,3301
M,11736
M,153
M,6
M,2186
M,2432
M,964
M,4492
M,14
M,834
M,3130
M,2087
M,12670
M,10389
M,5984
M,14
M,1014
M,8437
M,1192
M,3923
M,454
M,14708
M,1907
M,122
M,610
M,16933
M,11
M,4617
M,74
M,993
M,1302
M,9
M,3425
M,3
M,22
M,204
M,17
M,4733
M,6
M,2419
M,13572
M,57
M,13858
M,2
M,2702
M,10989
M,6683
M,251
M,12
M,5413
M,2773
M,4
M,6652
M,134
M,138
M,4792
M,3533
M,2566
M,793
M,3128
M,312
M,1660
M,4406
M,4166
M,54
M,26
M,1407
M,1110
M,5245
M,34
M,3961
M,37
M,7205
M,153
M,856
M,87
M,105
M,3823
M,970
M,1710
M,6540
M,5373
M,15213
M,12996
M,126
M,1123
M,4376
M,296
M,13932
M,188
M,2
M,13859
M,162
M,239
M,7902
M,5285
M,10266
M,25279
M,48
M,48
M,36
M,1064
M,96
M,8717
M,18940
M,9832
M,16
M,932
M,457
M,10640
M,86
M,8
M,215
M,42
M,54
M,424
M,359
M,494
M,522
M,10493
M,19
M,250
M,7
M,2829
M,30
M,252
M,204
M,7513
M,706
M,2945
M,3658
M,4326
M,76
M,0
M,10001
M,1379
M,1515
M,7292
M,36
M,4783
M,6746
M,28
M,9
M,3704
M,718
M,248
M,1496
M,25
M,8
M,319
M,4368
M,7781
M,440
M,3267
M,1541
M,14470
M,93
M,10058
M,129
M,488
M,5571
M,1963
M,1191
M,5263
M,2193
M,1233
M,30
M,10457
M,10925
M,13770
M,12118
M,246
M,8184
M,6
M,272
M,183
M,3740
M,3354
M,110
M,46
M,20497
M,40
M,383
M,0
M,64
M,10737
M,1625
M,517
M,7414
M,2
M,9830
M,12871
M,11344
M,71
M,16211
M,0
M,144
M,2030
M,1028
M,1703
M,4689
M,1810
M,11529
M,1047
M,7686
M,8901
M,998
M,843
M,11962
M,4915
M,16
M,37
M,4
M,23
M,491
M,90
M,3061
M,187
M,13398
M,9623
M,22
M,8044
M,7
M,10544
M,4494
M,676
M,1075
M,213
M,3865
M,20339
M,44
M,202
M,451
M,2370
M,54
M,92
M,15347
M,21
M,3228
M,171
M,6
M,2471
M,44
M,38
M,1928
M,55
M,4631
M,956
M,9656
M,739
M,22
M,7583
M,22
M,72
M,8636
M,72
M,715
M,39
M,72
M,508
M,5084
M,589
M,7256
M,18379
M,7083
M,20124
M,20790
M,81
M,3458
M,816
M,112
M,0
M,3476
M,51
M,11
M,224
M,2
M,1019
M,6477
M,2083
M,30
M,2053
M,2299
M,8553
M,1852
M,37
M,8
M,289
M,2199
M,7602
M,2566
M,3270
M,3243
M,205
M,11884
M,2648
M,10219
M,68
M,12884
M,7674
M,480
M,17
M,6502
M,1502
M,6439
M,3048
M,736
M,13570
M,1895
M,13
M,79
M,68
M,739
M,1666
M,8169
M,308
M,1359
M,53
M,1084
M,574
M,2493
M,66
M,2051
M,4
M,4806
M,1273
M,7490
M,13
M,721
M,89
M,188
M,389
M,768
M,100
M,23447
M,384
M,738
M,2853
M,352
M,587
M,9216
M,5833
M,2802
M,3726
M,46
M,159
M,7152
M,473
M,3472
M,1247
M,4037
M,1057
M,452
M,116
M,12
M,2542
M,13160
M,5971
M,8269
M,4340
M,73
M,3875
M,10495
M,417
M,9
M,3148
M,11
M,3064
M,2687
M,48
M,460
M,120
M,8990
M,4536
M,4
M,277
M,8966
M,10200
M,1499
M,501
M,2546
M,1200
M,570
M,0
M,1096
M,135
M,168
M,4618
M,310
M,1848
M,198
M,131
M,833
M,5765
M,12478
M,331
M,8208
M,26
M,5692
M,3820
M,5153
M,600
M,2555
M,2356
M,1550
M,15049
M,2005
M,3088
M,60
M,1013
M,329
M,48
M,62
M,117
M,2
M,42
M,2347
M,5170
M,538
M,34
M,6
M,980
M,370
M,10061
M,204
M,490
M,2062
M,58
M,1717
M,6111
M,6839
M,1080
M,323
M,7410
M,5059
M,423
M,11271
M,98
M,8138
M,835
M,512
M,16594
M,1090
M,204
M,44
M,3107
M,13066
M,2483
M,3490
M,479
M,2546
M,3919
M,1801
M,55
M,14593
M,6458
M,119
M,29428
M,8
M,2694
M,8486
M,2481
M,17
M,5241
M,4955
M,1140
M,99
M,692
M,937
M,16712
M,2
M,5946
M,45
M,11480
M,39
M,101
M,92
M,903
M,9988
M,356
M,38
M,12405
M,2945
M,8657
M,9870
M,56
M,2941
M,1868
M,17345
M,7826
M,3197
M,9965
M,131
M,3318
M,59
M,1168
M,6
M,203
M,840
M,35
M,6
M,43
M,4
M,1178
M,157
M,60
M,22
M,11383
M,5784
M,757
M,55
M,4
M,14551
M,7956
M,1282
M,38
M,37
M,3473
M,3726
M,21
M,540
M,247
M,693
M,11361
M,5109
M,32
M,80
M,113
M,12466
M,76
M,6357
M,192
M,3020
M,5346
M,201
M,53
M,3733
M,9405
M,574
M,3065
M,10829
M,6663
M,13
M,98
M,13980
M,1813
M,19172
M,18
M,12790
M,4093
M,4618
M,19
M,751
M,7976
M,30
M,70
M,36
M,299
M,4072
M,533
M,233
M,1226
M,5797
M,231
M,7933
M,509
M,46
M,17137
M,0
M,18979
M,45
M,15428
M,18992
M,335
M,272
M,12925
M,3940
M,1072
M,6636
M,512
M,1902
M,628
M,2668
M,167
M,8286
M,198
M,31
M,8794
M,0
M,5919
M,1737
M,2962
M,14970
M,2308
M,16825
M,1016
M,1011
M,1520
M,1502
M,1533
M,24
M,1540
M,1264
M,243
M,195
M,17
M,4371
M,401
M,2952
M,423
M,2638
M,2165
M,564
M,1837
M,379
M,9119
M,286
M,269
M,5957
M,288
M,79
M,131
M,189
M,3951
M,2726
M,163
M,6
M,2
M,41
M,10
M,1659
M,3186
M,1728
M,116
M,18757
M,90
M,26394
M,2268
M,107
M,8
M,5094
M,2944
M,12
M,27
M,285
M,6936
M,4
M,89
M,257
M,293
M,9
M,30
M,12517
M,911
M,747
M,74
M,13
M,869
M,3512
M,2355
M,7579
M,4945
M,1598
M,212
M,1362
M,130
M,8
M,5629
M,14076
M,6000
M,17658
M,13305
M,6250
M,0
M,9416
M,4996
M,9
M,503
M,17094
M,18
M,40
M,6832
M,10689
M,625
M,16412
M,26218
M,5582
M,19
M,5486
M,59
M,92
M,33643
M,10105
M,5
M,7309
M,54
M,1100
M,6517
M,25
M,36
M,730
M,1239
M,11238
M,835
M,1773
M,209
M,85
M,13
M,1222
M,76
M,5877
M,132
M,97
M,394
M,27457
