Gender,score
male,0.87183
male,0.87183
male,0.87178
male,0.87173
male,0.87173
male,0.87168
male,0.87168
male,0.87164
male,0.87164
male,0.87164
male,0.87149
male,0.87149
male,0.8713
male,0.8713
male,0.87116
male,0.87111
male,0.87106
male,0.87092
male,0.87092
male,0.87087
male,0.87087
male,0.87077
male,0.87073
male,0.87063
male,0.87058
male,0.87054
male,0.87049
male,0.87049
male,0.87039
male,0.87039
male,0.87034
female,0.8703
male,0.8703
male,0.8703
male,0.87025
male,0.87025
male,0.87025
male,0.8702
male,0.87011
male,0.87001
male,0.87001
male,0.87001
male,0.86996
male,0.86991
male,0.86991
male,0.86982
male,0.86982
male,0.86982
female,0.86977
male,0.86972
male,0.86968
male,0.86968
male,0.86958
male,0.86953
male,0.86953
male,0.86948
male,0.86948
male,0.86948
male,0.86944
male,0.86934
male,0.86929
male,0.86929
male,0.86929
male,0.86925
male,0.86925
male,0.86925
male,0.8692
male,0.86915
male,0.86915
male,0.86901
male,0.86896
male,0.86891
male,0.86881
male,0.86877
male,0.86877
male,0.86872
male,0.86867
male,0.86867
male,0.86867
female,0.86858
female,0.86848
male,0.86838
male,0.86819
male,0.86819
male,0.8681
male,0.868
male,0.86795
male,0.86795
male,0.86795
male,0.86791
male,0.86791
male,0.86791
male,0.86781
male,0.86772
male,0.86757
male,0.86752
male,0.86752
male,0.86748
male,0.86738
male,0.86733
male,0.86733
female,0.86719
male,0.86714
female,0.86714
male,0.86714
male,0.86709
male,0.86709
male,0.86709
male,0.867
male,0.86695
male,0.86695
male,0.8669
male,0.8669
male,0.86685
male,0.86681
male,0.86681
male,0.86681
male,0.86676
male,0.86676
male,0.86671
male,0.86671
male,0.86666
male,0.86666
male,0.86662
male,0.86657
male,0.86657
female,0.86652
male,0.86642
male,0.86628
male,0.86623
male,0.86623
male,0.86619
male,0.86614
male,0.86614
male,0.86609
male,0.86609
male,0.86604
male,0.86604
male,0.86604
male,0.86599
male,0.86599
male,0.86599
male,0.86595
male,0.8659
male,0.8659
male,0.8658
male,0.8658
male,0.8658
male,0.8658
female,0.86571
male,0.86561
male,0.86547
male,0.86547
male,0.86542
female,0.86542
male,0.86537
male,0.86528
male,0.86528
male,0.86523
male,0.86518
male,0.86509
female,0.86504
male,0.86499
male,0.86499
male,0.86494
male,0.8648
male,0.8648
